name,true_pld,proxy_pld,abs_error,signed_error
cds-f+N172+E70,6.645460000000001,5.786170959472656,0.8592890405273446,-0.8592890405273446
ecl+N423+E153,8.532689999999999,7.834160327911377,0.6985296720886218,-0.6985296720886218
vcm+N446+E54,8.58173,7.478095054626465,1.1036349453735355,-1.1036349453735355
vbn+N278+E175,7.91644,6.790552139282227,1.1258878607177731,-1.1258878607177731
xfa+N284+E102,4.45875,3.3092093467712402,1.14954065322876,-1.14954065322876
qzd+N616+E58,5.69071,5.139827251434326,0.550882748565674,-0.550882748565674
ocu+N657+N149+E204,3.71909,3.0819432735443115,0.6371467264556885,-0.6371467264556885
vmx+N369+E135,7.33408,6.828668594360352,0.5054114056396486,-0.5054114056396486
svk+N284+E173,5.97302,5.094863414764404,0.8781565852355957,-0.8781565852355957
wmo+N356+E58,7.699789999999999,7.257017135620117,0.44277286437988206,-0.44277286437988206
wiv+N425+E13,4.38836,3.298191785812378,1.0901682141876217,-1.0901682141876217
wgt+N242+E182,5.0252300000000005,4.4652910232543945,0.559938976745606,-0.559938976745606
uoc+N276+E128,8.518369999999999,7.876137733459473,0.6422322665405265,-0.6422322665405265
vcy+N650+E166,3.3096699999999997,2.8070099353790283,0.5026600646209713,-0.5026600646209713
sow+N561+E172,7.21287,6.477837562561035,0.7350324374389645,-0.7350324374389645
wib+N197+E69,5.02338,3.9709088802337646,1.0524711197662358,-1.0524711197662358
wht+N179+E134,7.81227,6.757208347320557,1.0550616526794432,-1.0550616526794432
qzd+N654+E84,6.42312,5.41805362701416,1.0050663729858398,-1.0050663729858398
est+N300+E156,6.76397,6.255421161651611,0.5085488383483883,-0.5085488383483883
ukh+N346+E0,5.3060599999999996,5.026942253112793,0.2791177468872066,-0.2791177468872066
wft+N446+E15,4.4524300000000006,3.801290988922119,0.6511390110778814,-0.6511390110778814
hjm+N520+E63,2.76893,1.5152686834335327,1.2536613165664674,-1.2536613165664674
wys+N401+N231+E139,6.52093,5.6639509201049805,0.8569790798950194,-0.8569790798950194
xft+N651+E182,7.1649899999999995,6.531174659729004,0.6338153402709956,-0.6338153402709956
sne+N645+E76,8.18394,7.561607837677002,0.6223321623229978,-0.6223321623229978
wiu+N622+E202,5.4705,4.857755661010742,0.6127443389892582,-0.6127443389892582
sqp+N391+E58,6.77212,6.031798362731934,0.7403216372680665,-0.7403216372680665
wmc+N481+E0,1.7401799999999998,0.9432257413864136,0.7969542586135863,-0.7969542586135863
vbn+N86+E205,7.09293,6.322811603546143,0.7701183964538574,-0.7701183964538574
vbs+N508+E88,8.53917,7.573607921600342,0.9655620783996586,-0.9655620783996586
zft+N272+E26,8.50028,7.872894287109375,0.6273857128906251,-0.6273857128906251
